,City,Cloudiness,Humidity,Latitude,Temperature,Wind Speed
556,Amesti,1,68,36.96,87.8,10.29
557,Pigna,0,49,41.9,78.8,4.7
558,Corraun,48,91,53.72,54.7,7.74
559,Tlogowungu,0,87,-6.93,69.1,4.94
560,Langeais,0,73,47.33,69.8,5.82
561,Roz-sur-Couesnon,0,93,48.58,64.4,4.7
562,Englewood,75,78,35.42,78.8,4.7
563,Pasirsalam,44,94,-7.12,61.81,1.7
564,Ixcoalco,5,70,19.05,87.8,4.7
565,Oława,0,93,50.96,60.8,5.82
566,Nuevo Casas Grandes,8,15,30.42,96.1,9.64
567,Lemgo,0,56,52.03,71.6,5.82
568,Dian-ay,12,97,10.83,82.06,3.15
569,Hromnice,0,72,49.85,64.4,3.15
570,Sabadim,0,93,41.91,64.4,4.7
571,Walpernhain,0,72,51.02,73.4,3.15
572,Trevose,90,69,40.14,82.4,11.41
573,Masinigudi,68,96,11.57,66.13,2.04
574,Bischofferode,0,53,51.5,73.4,4.7
575,Tangchijie,90,100,24.96,60.8,4.47
576,Virrat,0,100,62.25,55.4,1.12
577,Grand Terrace,1,16,34.03,107.6,13.87
578,Gagetown,20,73,45.77,75.2,10.29
579,Castro de Filabres,0,88,37.18,71.6,4.7
580,Seslavino,0,40,42.45,69.8,6.71
581,Teshi,90,94,5.58,77.0,12.75
582,Carnegie Hill,90,83,40.78,80.6,12.66
583,Povolide,0,95,40.67,54.88,2.26
584,Alegre,0,93,-20.76,55.51,2.71
585,Brie,0,81,46.48,51.8,3.36
586,Prairieland,40,36,30.11,93.2,6.93
587,Bocanegra,75,24,19.85,80.6,9.17
588,Vieure,0,68,46.5,68.0,3.36
589,Roskilde Kommune,0,93,55.65,71.6,1.12
590,Ibaraki,40,74,34.82,84.2,5.82
591,Montejo de la Vega de la Serrezuela,0,74,41.55,57.76,2.71
592,Almudaina,20,94,38.76,75.2,1.7
593,Senging,0,84,48.55,58.93,2.48
594,Skoba,8,75,56.71,60.73,9.42
595,Spittal,12,93,51.87,55.4,4.7
596,Zeven,0,69,53.3,75.2,3.36
597,Barrio San Isidro (1),90,81,-25.37,53.6,9.17
598,Maleny,0,84,-26.75,65.5,4.27
599,Faraján,0,30,36.61,84.2,11.41
